n,k,t,l,r,p,rep,norm,timestamp,worker
6,4,10.0,2,100000,2,0,1.4704102268736116e-10,2025-10-05T01:47:33,0
6,4,10.0,2,100000,2,0,5.5041859593591346e-11,2025-10-05T01:47:33,1
6,4,10.0,2,100000,2,0,2.145529145977757e-10,2025-10-05T01:47:33,2
6,4,10.0,2,100000,2,0,1.5583007647139168e-10,2025-10-05T01:47:33,4
6,4,10.0,2,100000,2,0,2.9069265879333246e-10,2025-10-05T01:47:33,3
6,4,10.0,2,100000,2,0,9.026245558031759e-11,2025-10-05T01:47:33,6
6,4,10.0,2,100000,2,0,2.509059565193194e-10,2025-10-05T01:47:33,8
6,4,10.0,2,100000,2,0,1.238704402108095e-10,2025-10-05T01:47:33,9
6,4,10.0,2,100000,2,0,2.4775778385220484e-10,2025-10-05T01:47:34,5
6,4,10.0,2,100000,2,0,2.4594198886862584e-10,2025-10-05T01:47:34,7
6,4,10.0,2,100000,2,0,1.6724605773605727e-10,2025-10-05T01:47:34,10
6,4,10.0,2,100000,2,1,1.950924507180274e-10,2025-10-05T01:47:34,1
6,4,10.0,2,100000,2,1,7.94938907370579e-11,2025-10-05T01:47:34,0
6,4,10.0,2,100000,2,1,1.6951000838030975e-10,2025-10-05T01:47:34,3
6,4,10.0,2,100000,2,1,1.6671525930505667e-10,2025-10-05T01:47:34,2
6,4,10.0,2,100000,2,1,1.169901705521456e-10,2025-10-05T01:47:34,8
6,4,10.0,2,100000,2,1,2.908349332225209e-10,2025-10-05T01:47:34,6
6,4,10.0,2,100000,2,1,3.5431914907193785e-10,2025-10-05T01:47:34,7
6,4,10.0,2,100000,2,1,1.0751884887944164e-10,2025-10-05T01:47:34,4
6,4,10.0,2,100000,2,1,2.6244357659323095e-10,2025-10-05T01:47:34,5
6,4,10.0,2,100000,2,1,1.0358725119346523e-10,2025-10-05T01:47:34,9
6,4,10.0,2,100000,2,1,1.4406878584378375e-10,2025-10-05T01:47:34,10
6,4,10.0,2,100000,2,2,1.5319720062475872e-10,2025-10-05T01:47:34,1
6,4,10.0,2,100000,2,2,2.3295567465711193e-10,2025-10-05T01:47:34,0
6,4,10.0,2,100000,2,2,1.776435816937265e-10,2025-10-05T01:47:34,6
6,4,10.0,2,100000,2,2,2.4303328433065707e-10,2025-10-05T01:47:34,3
6,4,10.0,2,100000,2,2,2.513351038295086e-10,2025-10-05T01:47:34,4
6,4,10.0,2,100000,2,2,5.0157113715845235e-11,2025-10-05T01:47:34,2
6,4,10.0,2,100000,2,2,5.571989849371372e-11,2025-10-05T01:47:34,8
6,4,10.0,2,100000,2,2,9.812803521722312e-11,2025-10-05T01:47:34,7
