n,k,t,l,r,p,rep,norm,active_count,timestamp,worker
6,5,10.0,2,100000,2,0,6.187727855652066e-11,6,2025-10-06T15:24:45,3
6,5,10.0,2,100000,2,0,1.7046469582745588e-10,6,2025-10-06T15:24:45,0
6,5,10.0,2,100000,2,0,1.6621119879156647e-10,6,2025-10-06T15:24:45,1
6,5,10.0,2,100000,2,0,1.623579901000925e-10,6,2025-10-06T15:24:45,4
6,5,10.0,2,100000,2,1,4.939150396842905e-11,6,2025-10-06T15:24:45,3
6,5,10.0,2,100000,2,1,4.7678279060779615e-11,6,2025-10-06T15:24:45,1
6,5,10.0,2,100000,2,1,5.3532124290050584e-11,6,2025-10-06T15:24:45,0
6,5,10.0,2,100000,2,1,7.727658935677164e-11,6,2025-10-06T15:24:45,4
6,5,10.0,2,100000,2,2,4.4453356190079356e-11,6,2025-10-06T15:24:45,3
6,5,10.0,2,100000,2,2,8.325501872718204e-11,6,2025-10-06T15:24:45,1
6,5,10.0,2,100000,2,2,2.721739193837542e-10,6,2025-10-06T15:24:45,0
6,5,10.0,2,100000,2,2,1.0604903931219104e-10,6,2025-10-06T15:24:45,4
6,5,10.0,2,100000,2,0,7.810822894663709e-11,6,2025-10-06T15:24:45,7
6,5,10.0,2,100000,2,3,1.1516207675264112e-10,6,2025-10-06T15:24:45,3
6,5,10.0,2,100000,2,0,8.904723614566109e-11,6,2025-10-06T15:24:45,2
6,5,10.0,2,100000,2,3,7.050714022420432e-11,6,2025-10-06T15:24:45,0
6,5,10.0,2,100000,2,3,8.592085875466883e-11,6,2025-10-06T15:24:45,1
6,5,10.0,2,100000,2,3,1.224905618517588e-10,6,2025-10-06T15:24:45,4
6,5,10.0,2,100000,2,4,1.7033266810798645e-10,6,2025-10-06T15:24:45,3
6,5,10.0,2,100000,2,1,1.1470868773440744e-10,6,2025-10-06T15:24:45,7
6,5,10.0,2,100000,2,1,9.912572866663087e-11,6,2025-10-06T15:24:45,2
6,5,10.0,2,100000,2,0,1.0997494043728587e-10,6,2025-10-06T15:24:45,6
6,5,10.0,2,100000,2,4,1.1837938550231004e-10,6,2025-10-06T15:24:45,0
6,5,10.0,2,100000,2,4,4.362129277546803e-11,6,2025-10-06T15:24:45,1
6,5,10.0,2,100000,2,4,1.2934402308853492e-10,6,2025-10-06T15:24:45,4
6,5,10.0,2,100000,2,5,7.992085024749648e-11,6,2025-10-06T15:24:45,3
6,5,10.0,2,100000,2,2,9.758994190711933e-11,6,2025-10-06T15:24:45,7
6,5,10.0,2,100000,2,2,9.272562722760732e-11,6,2025-10-06T15:24:45,2
6,5,10.0,2,100000,2,0,6.917639066788033e-11,6,2025-10-06T15:24:45,5
6,5,10.0,2,100000,2,0,9.530525954305718e-11,6,2025-10-06T15:24:45,9
6,5,10.0,2,100000,2,5,1.0295876698762401e-10,6,2025-10-06T15:24:45,4
6,5,10.0,2,100000,2,3,1.1996817872592336e-10,6,2025-10-06T15:24:45,2
6,5,10.0,2,100000,2,5,6.256253043087346e-11,6,2025-10-06T15:24:45,0
6,5,10.0,2,100000,2,1,1.45998191593566e-10,6,2025-10-06T15:24:45,6
6,5,10.0,2,100000,2,5,3.2968324687225555e-11,6,2025-10-06T15:24:45,1
6,5,10.0,2,100000,2,0,1.192091206481349e-10,6,2025-10-06T15:24:45,8
6,5,10.0,2,100000,2,3,8.516867573837203e-11,6,2025-10-06T15:24:45,7
6,5,10.0,2,100000,2,6,7.479735444306914e-11,6,2025-10-06T15:24:45,3
6,5,10.0,2,100000,2,0,1.2909003157160413e-10,6,2025-10-06T15:24:45,10
6,5,10.0,2,100000,2,4,6.214986305020363e-11,6,2025-10-06T15:24:45,2
6,5,10.0,2,100000,2,1,1.480752673057962e-10,6,2025-10-06T15:24:45,5
6,5,10.0,2,100000,2,7,9.690324894918032e-11,6,2025-10-06T15:24:45,3
6,5,10.0,2,100000,2,6,1.0849355609938922e-10,6,2025-10-06T15:24:45,4
6,5,10.0,2,100000,2,6,1.0848645315281379e-10,6,2025-10-06T15:24:45,1
6,5,10.0,2,100000,2,2,8.059959340790758e-11,6,2025-10-06T15:24:45,6
6,5,10.0,2,100000,2,6,1.7392982989619688e-10,6,2025-10-06T15:24:45,0
6,5,10.0,2,100000,2,1,7.277536801918878e-11,6,2025-10-06T15:24:45,10
6,5,10.0,2,100000,2,4,1.3071697403854934e-10,6,2025-10-06T15:24:45,7
6,5,10.0,2,100000,2,7,1.1101457828143424e-10,6,2025-10-06T15:24:45,0
6,5,10.0,2,100000,2,1,1.3535227684419044e-10,6,2025-10-06T15:24:45,8
6,5,10.0,2,100000,2,2,1.8300551351996936e-10,6,2025-10-06T15:24:45,10
6,5,10.0,2,100000,2,1,9.353838192106787e-11,6,2025-10-06T15:24:45,9
6,5,10.0,2,100000,2,3,1.371249150832421e-10,6,2025-10-06T15:24:45,6
6,5,10.0,2,100000,2,8,1.2701744131248142e-10,6,2025-10-06T15:24:45,3
