n,k,t,l,r,p,rep,norm,active_count,timestamp,worker
10,6,0.0,2,100000,2,0,0.0,4,2025-10-16T22:51:18,3
10,6,0.0,2,100000,2,0,0.0,8,2025-10-16T22:51:18,6
10,6,0.0,2,100000,2,0,0.0,9,2025-10-16T22:51:18,0
10,6,0.0,2,100000,2,0,0.0,10,2025-10-16T22:51:18,2
10,6,0.0,2,100000,2,0,0.0,10,2025-10-16T22:51:18,5
10,6,0.0,2,100000,2,0,0.0,8,2025-10-16T22:51:18,1
10,6,0.0,2,100000,2,0,0.0,11,2025-10-16T22:51:18,8
10,6,0.0,2,100000,2,0,0.0,10,2025-10-16T22:51:18,7
10,6,0.0,2,100000,2,0,0.0,12,2025-10-16T22:51:18,4
10,6,0.0,2,100000,2,1,0.0,6,2025-10-16T22:51:18,1
10,6,0.0,2,100000,2,0,0.0,15,2025-10-16T22:51:18,10
10,6,0.0,2,100000,2,1,0.0,6,2025-10-16T22:51:18,0
10,6,0.0,2,100000,2,1,0.0,11,2025-10-16T22:51:18,3
10,6,0.0,2,100000,2,1,0.0,8,2025-10-16T22:51:18,2
10,6,0.0,2,100000,2,0,0.0,17,2025-10-16T22:51:18,9
10,6,0.0,2,100000,2,1,0.0,8,2025-10-16T22:51:18,8
10,6,0.0,2,100000,2,1,0.0,8,2025-10-16T22:51:18,5
10,6,0.0,2,100000,2,1,0.0,13,2025-10-16T22:51:18,6
10,6,0.0,2,100000,2,2,0.0,5,2025-10-16T22:51:18,0
10,6,0.0,2,100000,2,1,0.0,7,2025-10-16T22:51:18,9
10,6,0.0,2,100000,2,2,0.0,7,2025-10-16T22:51:18,3
10,6,0.0,2,100000,2,1,0.0,12,2025-10-16T22:51:18,7
10,6,0.0,2,100000,2,2,0.0,11,2025-10-16T22:51:18,1
10,6,0.0,2,100000,2,2,0.0,9,2025-10-16T22:51:18,8
10,6,0.0,2,100000,2,2,0.0,8,2025-10-16T22:51:19,6
10,6,0.0,2,100000,2,1,0.0,19,2025-10-16T22:51:19,4
10,6,0.0,2,100000,2,2,0.0,10,2025-10-16T22:51:19,2
10,6,0.0,2,100000,2,2,0.0,6,2025-10-16T22:51:19,9
10,6,0.0,2,100000,2,1,0.0,15,2025-10-16T22:51:19,10
10,6,0.0,2,100000,2,3,0.0,5,2025-10-16T22:51:19,8
10,6,0.0,2,100000,2,3,0.0,7,2025-10-16T22:51:19,3
10,6,0.0,2,100000,2,2,0.0,13,2025-10-16T22:51:19,5
10,6,0.0,2,100000,2,3,0.0,10,2025-10-16T22:51:19,1
10,6,0.0,2,100000,2,3,0.0,13,2025-10-16T22:51:19,0
10,6,0.0,2,100000,2,2,0.0,12,2025-10-16T22:51:19,7
10,6,0.0,2,100000,2,3,0.0,10,2025-10-16T22:51:19,6
10,6,0.0,2,100000,2,3,0.0,9,2025-10-16T22:51:19,2
10,6,0.0,2,100000,2,3,0.0,8,2025-10-16T22:51:19,5
10,6,0.0,2,100000,2,2,0.0,12,2025-10-16T22:51:19,4
10,6,0.0,2,100000,2,4,0.0,9,2025-10-16T22:51:19,3
10,6,0.0,2,100000,2,2,0.0,9,2025-10-16T22:51:19,10
10,6,0.0,2,100000,2,4,0.0,8,2025-10-16T22:51:19,0
